"Скважина","НГДУ","ЦДНГ","ГУ","ЗУ","Категория","Состояние","Причина простоя","Способ эксплуатации","№ отвода","Qж, м³/сут","Обв, %","Qн, т/сут"
UZN_0722,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107б,Контрольная,В простое,Перевод в КФ,Отсутствует,9.000000,30.0,99.0,0.0
UZN_0723,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0724,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Нефтяная,Бездействие,Авария подземного оборудования,ШГН,10.000000,60.0,98.0,1.0
UZN_0725,НГДУ-1,ЦДНГ-11,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0726,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,25.0,99.0,0.0
UZN_0727,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23б,Нефтяная,В работе,,ШГН,5.000000,10.0,50.0,4.0
UZN_0728,НГДУ-4,ЦДНГ-6,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0729,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107е,Нефтяная,Ликвидированная,Геологические причины,ШГН,11.000000,50.0,98.0,1.0
UZN_0730,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0731,НГДУ-4,ЦДНГ-6,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0732,НГДУ-1,ЦДНГ-11,ГУ-4,ЗУ-4в,Нефтяная,В работе,,ШГН,12.000000,35.0,80.0,6.0
UZN_0733,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107а,Нефтяная,В работе,,ШГН,2.000000,50.0,95.0,2.0
UZN_0735,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0736,НГДУ-4,ЦДНГ-6,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0737,НГДУ-1,ЦДНГ-8,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0738,НГДУ-3,ЦДНГ-1,ГУ-8,,Нефтяная,В работе,,УЭЦН,3.000000,40.0,85.0,5.0
UZN_0739,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0740,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0741,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0742,НГДУ-3,ЦДНГ-13,ГУ-2,ЗУ-2а-2,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,25.0,98.0,0.0
UZN_0743,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0744,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0745,НГДУ-1,ЦДНГ-11,ГУ-83,ЗУ-83д,Нефтяная,Ликвидированная,Технические причины,Отсутствует,9.000000,20.0,93.0,1.0
UZN_0746,НГДУ-3,ЦДНГ-10,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0747,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0748,НГДУ-4,ЦДНГ-6,,,Нефтяная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0749,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Нефтяная,Ликвидированная,Технические причины,Отсутствует,12.000000,35.0,95.0,1.0
UZN_0750,НГДУ-1,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0751,НГДУ-3,ЦДНГ-5,ГУ-81,ЗУ-81а,Нефтяная,В работе,,ШГН,13.000000,30.0,90.0,3.0
UZN_0752,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0753,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0754,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0755,НГДУ-2,,,,Неизвестно,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0756,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0757,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107е,Нефтяная,В работе,,ШГН,3.000000,60.0,85.0,8.0
UZN_0759,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,3.000000,45.0,98.0,1.0
UZN_0760,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0761,НГДУ-4,ЦДНГ-6,ГУ-10,ЗУ-10в,Нефтяная,В работе,,ШГН,12.000000,10.0,85.0,1.0
UZN_0762,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,20.0,99.0,0.0
UZN_0763,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Нефтяная,Ликвидированная,Технические причины,Отсутствует,2.000000,5.0,95.0,0.0
UZN_0764,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Контрольная,Наблюдательная,,ШГН,9.000000,20.0,90.0,2.0
UZN_0765,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0766,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0767,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Нефтяная,В работе,,ШГН,3.000000,65.0,90.0,5.0
UZN_0768,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107д,Нефтяная,В работе,,ШГН,6.000000,85.0,85.0,11.0
UZN_0769,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23б,Нефтяная,В работе,,ШГН,2.000000,50.0,95.0,2.0
UZN_0770,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0771,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23а,Нефтяная,В работе,,ШГН,13.000000,10.0,45.0,5.0
UZN_0772,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23а,Нефтяная,Ликвидированная,Технические причины,Отсутствует,1.000000,,,
UZN_0773,НГДУ-4,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0774,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107б,Нефтяная,В работе,,ШГН,8.000000,20.0,45.0,9.0
UZN_0775,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0776,НГДУ-4,ЦДНГ-6,ГУ-23,ЗУ-23а,Нефтяная,В работе,,ШГН,8.000000,60.0,90.0,5.0
UZN_0777,НГДУ-3,ЦДНГ-1,ГУ-3,ЗУ-3б-1,Нефтяная,В работе,,ШГН,10.000000,45.0,85.0,6.0
UZN_0778,НГДУ-4,ЦДНГ-6,ГУ-107,ЗУ-107а,Нефтяная,В работе,,ШГН,7.000000,20.0,60.0,7.0
UZN_0779,НГДУ-3,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
UZN_0780,НГДУ-2,,,,Нагнетательная,Ликвидированная,Технические причины,Отсутствует,,,,
